CustomerID,lat,lon,TotalLoad
9038,46.609483,24.805386,17.3945744
2268,46.612088,24.891948,8.613257825
894,46.624557,24.890041,9.494061034
3231,46.601391,24.903458,11.26998126
702,46.612318,24.885456,14.26479904
11117,46.639988,24.858044,82.95568771
10731,46.6341578,24.8615388,26.03632438
7339,46.614121,24.896164,31.23350329
184,46.5988861,24.8113579,26.71827358
545,46.622025,24.799403,59.91856393
210,46.616326,24.790182,39.29070987
165,46.5925822,24.8083199,1.399297201
4390,46.615405,24.787872,97.40118006
344,46.590006,24.808191,13.25902593
442,46.640702,24.80571,8.804933282
750,46.6042083,24.8084139,62.61753451
158,46.5963934,24.8176838,18.12857882
245,46.601827,24.8082481,15.88478735
1012,46.6197584,24.7911532,2.852959807
549,46.619728,24.791272,8.959884695
315,46.623514,24.791198,8.804933282
264,46.6196821,24.7911531,48.24638425
2078,46.674446,24.832478,12.96138624
6196,46.6204244,24.9091376,32.32974939
10623,46.6200241,24.9098159,42.07483529
10581,46.6726832,24.85999,4.067388868
10570,46.6600588,24.8535488,34.44435928
4065,46.67002134,24.65027564,10.91948501
3002,46.67037392,24.64913555,92.52358978
3004,46.67165,24.651607,34.35859745
8842,46.670079,24.650115,35.18680372
8794,46.672916,24.652298,9.883290617
576,46.6426607,24.8020159,40.63353291
451,46.645298,24.797069,62.37131208
10338,46.642483,24.818323,85.38297554
9202,46.641695,24.809156,26.78758862
7833,46.636919,24.826027,74.38803991
9149,46.665758,24.817178,60.31094669
277,46.634604,24.824652,26.51747796
178,46.6296051,24.827449,111.9588409
329,46.629808,24.828175,45.70221068
270,46.631274,24.8196215,32.44202725
289,46.657411,24.810461,19.91776029
2615,46.6222821,24.8111784,10.68893136
10769,46.6503226,24.8301688,21.80724722
2685,46.653614,24.772819,12.35230402
11120,46.67108941,24.81062071,67.23656271
3690,46.789585,24.737205,17.15947182
3693,46.793199,24.745113,29.55505697
8737,46.78814955,24.75505238,1.78525482
4808,46.793114,24.745085,5.705919615
3945,46.79531,24.737874,15.50051545
5036,46.618115,24.783159,0.393471802
168,46.6317401,24.7834449,0.833942393
412,46.702844,24.753485,16.01235436
215,46.622931,24.779554,32.93984031
328,46.6280774,24.7885936,9.427812687
9757,46.8513454,24.8580248,259.1302384
9763,46.8498579,24.8626051,67.47057567
9760,46.849709,24.859001,4.283002039
2326,46.7791972,24.5857803,12.98099491
3563,46.759404,24.583222,39.29280883
2490,46.789524,24.58039,29.91612144
10897,46.7894807,24.5800064,9.035639251
4509,46.762623,24.56393,14.60033658
10662,46.764917,24.5885743,32.02510567
3230,46.750028,24.593278,4.968563765
4549,46.77412,24.607117,7.112529876
1143,46.7660845,24.569617,2.814583766
2488,46.7753607,24.5737387,8.006177179
8727,46.739598,24.620663,1.804887144
10772,46.7807699,24.5763141,176.9881388
3782,46.768405,24.599224,26.90914546
1128,46.770515,24.587267,12.66957782
11121,46.7575315,24.573615,3.10664548
10676,46.7747202,24.5931077,11.84441748
11124,46.7575315,24.573615,10.75598835
6704,46.741695,24.589926,16.64993575
716,46.7588816,24.5833852,7.944690774
4150,46.7700453,24.5780838,25.12324493
11176,46.76765682,24.56970717,92.51518102
4056,46.701358,24.536256,1.499465244
1274,46.731722,24.541922,7.783345467
6433,46.713501,24.564199,8.613257825
1310,46.725909,24.55438,12.05292985
2334,46.705074,24.529088,7.86283179
2035,46.711437,24.5512087,5.564982621
4170,46.719307,24.546616,2.171110947
5398,46.7062051,24.5445509,19.85773534
1254,46.697771,24.558306,35.8532945
4161,46.714943,24.553305,7.131502252
10795,46.694692,24.545378,296.4746091
8254,46.713291,24.556145,91.8311579
3840,46.6519533,24.5904528,16.40217056
10833,46.67332874,24.61377637,10.60738507
2407,46.68146447,24.61492916,14.06847787
8959,46.636679,24.596169,13.14036366
10820,46.6794211,24.6253794,19.5069708
10841,46.68050034,24.62076445,7.264360206
4029,46.6323412,24.5819196,11.64432049
5115,46.5535131,24.6447316,19.68680707
7262,46.55407,24.64909,49.74939348
11069,46.55734,24.624705,12.81643483
1170,46.79371955,24.56404329,12.48663283
6709,46.795448,24.55661,36.7248715
2582,46.766742,24.564818,18.69400453
2277,46.8004381,24.5815935,20.62970685
9631,46.7882257,24.557328,26.39095577
8452,46.7820587,24.5581043,6.745003491
3440,46.7828691,24.5564406,3.010802847
3323,46.7797266,24.5676212,12.21973189
10106,46.773853,24.533653,20.49119174
